Runs :100
Difference : 0.001
0.766000 100 100 1.0
0.767000 100 100 1.0
0.768000 100 100 1.0
0.769000 100 100 1.0
0.770000 100 100 1.0
0.771000 100 100 1.0
0.772000 100 100 1.0
0.773000 100 100 1.0
0.774000 100 100 1.0
0.775000 100 100 1.0
0.776000 100 100 1.0
0.777000 100 100 1.0
0.778000 100 100 1.0
0.779000 100 100 1.0
0.780000 100 100 1.0
0.781000 100 100 1.0
0.782000 100 100 1.0
0.783000 100 100 1.0
0.784000 100 100 1.0
0.785000 100 100 1.0
0.786000 100 100 1.0
0.787000 100 100 1.0
0.788000 100 100 1.0
0.789000 100 100 1.0
0.790000 100 100 1.0
0.791000 100 100 1.0
0.792000 100 100 1.0
0.793000 100 100 1.0
0.794000 100 100 1.0
0.795000 100 100 1.0
0.796000 100 100 1.0
0.797000 100 100 1.0
0.798000 100 100 1.0
0.799000 100 100 1.0
0.800000 100 100 1.0
0.801000 100 100 1.0
0.802000 100 100 1.0
0.803000 100 100 1.0
0.804000 100 100 1.0
0.805000 100 100 1.0
0.806000 100 100 1.0
0.807000 100 100 1.0
0.808000 100 100 1.0
0.809000 100 100 1.0
0.810000 100 100 1.0
0.811000 100 100 1.0
0.812000 100 100 1.0
0.813000 100 100 1.0
0.814000 100 100 1.0
0.815000 100 100 1.0
0.816000 100 100 1.0
0.817000 100 100 1.0
0.818000 100 100 1.0
0.819000 100 100 1.0
0.820000 100 100 1.0
0.821000 100 100 1.0
0.822000 100 100 1.0
0.823000 100 100 1.0
0.824000 100 100 1.0
0.825000 100 100 1.0
0.826000 100 100 1.0
0.827000 100 100 1.0
0.828000 100 100 1.0
0.829000 100 100 1.0
0.830000 100 100 1.0
0.831000 100 100 1.0
0.832000 100 100 1.0
0.833000 100 100 1.0
0.834000 100 100 1.0
0.835000 100 100 1.0
0.836000 100 100 1.0
0.837000 100 100 1.0
0.838000 100 100 1.0
0.839000 100 100 1.0
0.840000 100 100 1.0
0.841000 100 100 1.0
0.842000 100 100 1.0
0.843000 100 100 1.0
0.844000 100 100 1.0
0.845000 100 100 1.0
0.846000 100 100 1.0
0.847000 100 100 1.0
0.848000 100 100 1.0
0.849000 100 100 1.0
0.850000 100 100 1.0
0.851000 100 100 1.0
0.852000 100 100 1.0
0.853000 100 100 1.0
0.854000 100 100 1.0
0.855000 100 100 1.0
0.856000 100 100 1.0
0.857000 100 100 1.0
0.858000 100 100 1.0
0.859000 100 100 1.0
0.860000 100 100 1.0
0.861000 100 100 1.0
0.862000 100 100 1.0
0.863000 100 100 1.0
0.864000 100 100 1.0
0.865000 100 100 1.0
0.866000 100 100 1.0
0.867000 100 100 1.0
0.868000 100 100 1.0
0.869000 100 100 1.0
0.870000 100 100 1.0
0.871000 100 100 1.0
0.872000 100 100 1.0
0.873000 100 100 1.0
0.874000 100 100 1.0
0.875000 100 100 1.0
0.876000 100 100 1.0
0.877000 100 100 1.0
0.878000 100 100 1.0
0.879000 100 100 1.0
0.880000 100 100 1.0
0.881000 100 100 1.0
0.882000 100 100 1.0
0.883000 100 100 1.0
0.884000 100 100 1.0
0.885000 100 100 1.0
0.886000 100 100 1.0
0.887000 100 100 1.0
0.888000 100 100 1.0
0.889000 100 100 1.0
0.890000 100 100 1.0
0.891000 100 100 1.0
0.892000 100 100 1.0
0.893000 100 100 1.0
0.894000 100 100 1.0
0.895000 100 100 1.0
0.896000 100 100 1.0
0.897000 100 100 1.0
0.898000 100 100 1.0
0.899000 100 100 1.0
0.900000 100 100 1.0
0.901000 100 100 1.0
0.902000 100 100 1.0
0.903000 100 100 1.0
0.904000 100 100 1.0
0.905000 100 100 1.0
0.906000 100 100 1.0
0.907000 100 100 1.0
0.908000 100 100 1.0
0.909000 100 100 1.0
0.910000 100 100 1.0
0.911000 100 100 1.0
0.912000 100 100 1.0
0.913000 100 100 1.0
0.914000 100 100 1.0
0.915000 100 100 1.0
0.916000 100 100 1.0
0.917000 100 100 1.0
0.918000 100 100 1.0
0.919000 100 100 1.0
0.920000 100 100 1.0
0.921000 100 100 1.0
0.922000 100 100 1.0
0.923000 100 100 1.0
0.924000 100 100 1.0
0.925000 100 100 1.0
0.926000 100 100 1.0
0.927000 100 100 1.0
0.928000 100 100 1.0
0.929000 100 100 1.0
0.930000 100 100 1.0
0.931000 100 100 1.0
0.932000 100 100 1.0
0.933000 100 100 1.0
0.934000 100 100 1.0
0.935000 100 100 1.0
0.936000 100 100 1.0
0.937000 100 100 1.0
0.938000 100 100 1.0
0.939000 100 100 1.0
0.940000 100 100 1.0
0.941000 100 100 1.0
0.942000 100 100 1.0
0.943000 100 100 1.0
0.944000 100 100 1.0
0.945000 100 100 1.0
0.946000 100 100 1.0
0.947000 100 100 1.0
0.948000 100 100 1.0
0.949000 100 100 1.0
0.950000 100 100 1.0
0.951000 100 100 1.0
0.952000 100 100 1.0
0.953000 100 100 1.0
0.954000 100 100 1.0
0.955000 100 100 1.0
0.956000 100 100 1.0
0.957000 100 100 1.0
0.958000 100 100 1.0
0.959000 100 100 1.0
0.960000 100 100 1.0
0.961000 100 100 1.0
0.962000 100 100 1.0
0.963000 100 100 1.0
0.964000 100 100 1.0
0.965000 100 100 1.0
0.966000 100 100 1.0
0.967000 100 100 1.0
0.968000 100 100 1.0
0.969000 100 100 1.0
0.970000 100 100 1.0
0.971000 100 100 1.0
0.972000 100 100 1.0
0.973000 100 100 1.0
0.974000 100 100 1.0
0.975000 100 100 1.0
0.976000 100 100 1.0
0.977000 100 100 1.0
0.978000 100 100 1.0
0.979000 100 100 1.0
0.980000 100 100 1.0
0.981000 100 100 1.0
0.982000 100 100 1.0
0.983000 100 100 1.0
0.984000 100 100 1.0
0.985000 100 100 1.0
0.986000 100 100 1.0
0.987000 100 100 1.0
0.988000 100 100 1.0
0.989000 100 100 1.0
0.990000 100 100 1.0
0.991000 100 100 1.0
0.992000 100 100 1.0
0.993000 100 100 1.0
0.994000 100 100 1.0
0.995000 100 100 1.0
0.996000 100 100 1.0
0.997000 100 100 1.0
0.998000 100 100 1.0
0.999000 100 100 1.0
