Runs :50
Difference : 1.0E-4
0.0322000 50 0 0.0
0.0323000 50 0 0.0
0.0324000 50 0 0.0
0.0325000 50 0 0.0
0.0326000 50 0 0.0
0.0327000 50 0 0.0
0.0328000 50 0 0.0
0.0329000 50 0 0.0
0.0330000 50 0 0.0
0.0331000 50 0 0.0
0.0332000 50 0 0.0
0.0333000 50 0 0.0
0.0334000 50 0 0.0
0.0335000 50 0 0.0
0.0336000 50 0 0.0
0.0337000 50 0 0.0
0.0338000 50 0 0.0
0.0339000 50 0 0.0
0.0340000 50 0 0.0
0.0341000 50 0 0.0
0.0342000 50 0 0.0
0.0343000 50 0 0.0
0.0344000 50 0 0.0
0.0345000 50 0 0.0
0.0346000 50 0 0.0
0.0347000 50 0 0.0
0.0348000 50 0 0.0
0.0349000 50 0 0.0
0.0350000 50 0 0.0
0.0351000 50 0 0.0
0.0352000 50 0 0.0
0.0353000 50 0 0.0
0.0354000 50 0 0.0
0.0355000 50 0 0.0
0.0356000 50 0 0.0
0.0357000 50 0 0.0
0.0358000 50 0 0.0
0.0359000 50 0 0.0
0.0360000 50 0 0.0
0.0361000 50 0 0.0
0.0362000 50 0 0.0
0.0363000 50 0 0.0
0.0364000 50 0 0.0
0.0365000 50 0 0.0
0.0366000 50 0 0.0
0.0367000 50 0 0.0
0.0368000 50 0 0.0
0.0369000 50 0 0.0
0.0370000 50 0 0.0
0.0371000 50 0 0.0
0.0372000 50 0 0.0
0.0373000 50 0 0.0
0.0374000 50 0 0.0
0.0375000 50 0 0.0
0.0376000 50 0 0.0
0.0377000 50 0 0.0
0.0378000 50 0 0.0
0.0379000 50 0 0.0
0.0380000 50 0 0.0
0.0381000 50 0 0.0
0.0382000 50 0 0.0
0.0383000 50 0 0.0
0.0384000 50 0 0.0
0.0385000 50 0 0.0
0.0386000 50 0 0.0
0.0387000 50 0 0.0
0.0388000 50 0 0.0
0.0389000 50 0 0.0
0.0390000 50 0 0.0
0.0391000 50 0 0.0
0.0392000 50 0 0.0
0.0393000 50 0 0.0
0.0394000 50 0 0.0
0.0395000 50 0 0.0
0.0396000 50 0 0.0
0.0397000 50 0 0.0
0.0398000 50 0 0.0
0.0399000 50 0 0.0
0.0400000 50 0 0.0
0.0401000 50 0 0.0
0.0402000 50 0 0.0
0.0403000 50 0 0.0
0.0404000 50 0 0.0
0.0405000 50 0 0.0
0.0406000 50 0 0.0
0.0407000 50 0 0.0
0.0408000 50 0 0.0
0.0409000 50 0 0.0
0.0410000 50 0 0.0
0.0411000 50 0 0.0
0.0412000 50 0 0.0
0.0413000 50 0 0.0
0.0414000 50 0 0.0
0.0415000 50 0 0.0
0.0416000 50 0 0.0
0.0417000 50 0 0.0
0.0418000 50 0 0.0
0.0419000 50 0 0.0
0.0420000 50 0 0.0
0.0421000 50 0 0.0
0.0422000 50 0 0.0
0.0423000 50 0 0.0
0.0424000 50 0 0.0
0.0425000 50 0 0.0
0.0426000 50 0 0.0
0.0427000 50 0 0.0
0.0428000 50 0 0.0
0.0429000 50 0 0.0
0.0430000 50 0 0.0
0.0431000 50 0 0.0
0.0432000 50 0 0.0
0.0433000 50 0 0.0
0.0434000 50 0 0.0
0.0435000 50 0 0.0
0.0436000 50 0 0.0
0.0437000 50 0 0.0
0.0438000 50 0 0.0
0.0439000 50 0 0.0
0.0440000 50 0 0.0
0.0441000 50 0 0.0
0.0442000 50 0 0.0
0.0443000 50 0 0.0
0.0444000 50 0 0.0
0.0445000 50 0 0.0
