Runs: 500
Size : 50
55 1850 0.61157024
55 1866 0.6168595
55 1696 0.56066114
55 1832 0.60561985
55 1867 0.61719006
55 1823 0.6026446
55 1803 0.59603304
55 1720 0.56859505
55 1841 0.608595
55 1724 0.5699174
55 1808 0.59768593
55 1770 0.58512396
55 1777 0.587438
55 1832 0.60561985
55 1751 0.578843
55 1781 0.5887603
55 1738 0.57454544
55 1803 0.59603304
55 1767 0.58413225
55 1942 0.64198345
55 1850 0.61157024
55 1794 0.5930579
55 1715 0.56694216
55 1724 0.5699174
55 1824 0.6029752
55 1687 0.557686
55 1892 0.62545455
55 1802 0.59570247
55 1788 0.5910744
55 1693 0.55966944
55 1919 0.63438016
55 1764 0.5831405
55 1676 0.5540496
55 1792 0.5923967
55 1712 0.5659504
55 1727 0.5709091
55 1712 0.5659504
55 1769 0.5847934
55 1799 0.59471077
55 1867 0.61719006
55 1784 0.5897521
55 1815 0.6
55 1720 0.56859505
55 1770 0.58512396
55 1844 0.6095868
55 1793 0.59272724
55 1892 0.62545455
55 1838 0.6076033
55 1861 0.6152066
55 1809 0.5980165
55 1620 0.5355372
55 1812 0.59900826
55 1698 0.56132233
55 1939 0.64099175
55 1858 0.6142149
55 1801 0.5953719
55 1742 0.5758678
55 1856 0.6135537
55 1770 0.58512396
55 1792 0.5923967
55 1752 0.57917356
55 1648 0.54479337
55 1853 0.612562
55 1736 0.5738843
55 1724 0.5699174
55 1809 0.5980165
55 1832 0.60561985
55 1893 0.6257851
55 1833 0.6059504
55 1840 0.60826445
55 1795 0.59338844
55 1836 0.6069422
55 1867 0.61719006
55 1790 0.59173554
55 1739 0.574876
55 1862 0.61553717
55 1820 0.6016529
55 1740 0.57520664
55 1802 0.59570247
55 1845 0.60991734
55 1736 0.5738843
55 1793 0.59272724
55 1833 0.6059504
55 1726 0.5705785
55 1846 0.6102479
55 1859 0.61454546
55 1717 0.5676033
55 1809 0.5980165
55 1622 0.5361983
55 1875 0.6198347
55 1802 0.59570247
55 1731 0.5722314
55 1752 0.57917356
55 1850 0.61157024
55 1829 0.6046281
55 1865 0.6165289
55 1739 0.574876
55 1686 0.55735534
55 1849 0.6112397
55 1791 0.5920661
55 1706 0.56396693
55 1831 0.6052893
55 1780 0.58842975
55 1703 0.5629752
55 1773 0.5861157
55 1819 0.6013223
55 1804 0.59636366
55 1761 0.58214873
55 1800 0.59504133
55 1668 0.55140495
55 1839 0.6079339
55 1973 0.6522314
55 1856 0.6135537
55 1817 0.60066116
55 1906 0.63008267
55 1811 0.5986777
55 1793 0.59272724
55 1746 0.5771901
55 1796 0.593719
55 1718 0.56793386
55 1819 0.6013223
55 1826 0.6036364
55 1764 0.5831405
55 1813 0.5993388
55 1706 0.56396693
55 1796 0.593719
55 1822 0.60231405
55 1805 0.59669423
55 1695 0.56033057
55 1844 0.6095868
55 1773 0.5861157
55 1898 0.627438
55 1775 0.58677685
55 1875 0.6198347
55 1901 0.6284298
55 1773 0.5861157
55 1877 0.62049586
55 1881 0.6218182
55 1702 0.5626446
55 1708 0.5646281
55 1783 0.5894215
55 1695 0.56033057
55 1718 0.56793386
55 1874 0.61950415
55 1692 0.55933887
55 1604 0.5302479
55 1720 0.56859505
55 1913 0.6323967
55 1843 0.6092562
55 1833 0.6059504
55 1701 0.56231403
55 1808 0.59768593
55 1829 0.6046281
55 1739 0.574876
55 1722 0.5692562
55 2011 0.6647934
55 1729 0.5715703
55 1774 0.5864463
55 1715 0.56694216
55 1852 0.61223143
55 1815 0.6
55 1587 0.5246281
55 1732 0.572562
55 1911 0.63173556
55 1829 0.6046281
55 1850 0.61157024
55 1840 0.60826445
55 1747 0.57752067
55 1925 0.6363636
55 1700 0.56198347
55 1804 0.59636366
55 1972 0.6519008
55 1584 0.52363634
55 1772 0.58578515
55 1791 0.5920661
55 1878 0.6208264
55 1662 0.5494215
55 1768 0.5844628
55 1736 0.5738843
55 1791 0.5920661
55 1823 0.6026446
55 1939 0.64099175
55 1912 0.63206613
55 1920 0.6347107
55 1836 0.6069422
55 1776 0.5871074
55 1904 0.6294215
55 1847 0.61057854
55 1754 0.5798347
55 1771 0.5854545
55 1740 0.57520664
55 1923 0.6357025
55 1779 0.5880992
55 1860 0.61487603
55 1808 0.59768593
55 1889 0.6244628
55 1717 0.5676033
55 1927 0.6370248
55 1809 0.5980165
55 1719 0.5682645
55 1770 0.58512396
55 1859 0.61454546
55 1752 0.57917356
55 1733 0.57289255
55 1849 0.6112397
55 1913 0.6323967
55 1696 0.56066114
55 1902 0.62876034
55 1805 0.59669423
55 1739 0.574876
55 1785 0.59008265
55 1719 0.5682645
55 1888 0.6241322
55 1830 0.60495865
55 1714 0.5666116
55 1783 0.5894215
55 1760 0.58181816
55 1857 0.61388427
55 1834 0.606281
55 1763 0.5828099
55 1805 0.59669423
55 1801 0.5953719
55 1744 0.5765289
55 1853 0.612562
55 1878 0.6208264
55 1841 0.608595
55 1755 0.58016527
55 1727 0.5709091
55 1867 0.61719006
55 1863 0.6158678
55 1733 0.57289255
55 1711 0.5656198
55 1753 0.57950413
55 1724 0.5699174
55 1701 0.56231403
55 1921 0.6350413
55 1818 0.6009917
55 1776 0.5871074
55 1878 0.6208264
55 1736 0.5738843
